video_title,views,likes,comments,published_date,like_ratio,view_ratio,comment_ratio,month,year,day_of_month,week_of_year,quarter,is_weekend,day_Friday,day_Monday,day_Saturday,day_Sunday,day_Thursday,day_Tuesday,day_Wednesday,channel_title_3blue1brown,channel_title_CodeWithHarry,channel_title_GoogleDevelopers,channel_title_JomaTech,channel_title_LukeBarousse,channel_title_TechWithTim,channel_title_TheCodingTrain,channel_title_TheNetNinja,channel_title_WelchLabs,channel_title_aiExplained,channel_title_codebasics,channel_title_coreyms,channel_title_freecodecamp,channel_title_krishnaik06,channel_title_mlstreettalk,channel_title_realpython,channel_title_sentdex,channel_title_simplilearn,channel_title_statquest,log_views,is_viral
Data Analyst Roadmap 2025 #codebasics #shorts #dataanalytics #roadmap #dataanlysis #data,6670,354,5,2025-03-12,0.05307346326836502,1333.99999997332,0.0007496251874062857,3,2025,12,11,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.805525052709516,0
Difference between API & KPI #shorts #data #dataanlysis,9410,390,5,2025-03-01,0.04144527098830987,1881.99999996236,0.0005313496280552547,3,2025,1,9,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.149634496858788,0
Data Analyst Interview #shorts #codebasics #data #dataanalyst,51001,1932,27,2025-02-26,0.0378816101645065,1888.92592591893,0.0005294013842865816,2,2025,26,9,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,10.839620126623823,0
The future with AI Agents #zapier #automation,11347,506,9,2025-02-20,0.044593284568608046,1260.777777763769,0.0007931611879791945,2,2025,20,8,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.336796795928741,0
Number of Projects on a Data Analyst's Resume #shorts #data #dataanalyst,10870,502,2,2025-02-17,0.04618215271389102,5434.99999972825,0.00018399264029438653,2,2025,17,8,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.293853972204001,0
Choose wisely #shorts #data #dataanalyst #datascience,7881,400,7,2025-02-04,0.05075498033244448,1125.8571428410592,0.0008882121558177784,2,2025,4,6,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.97233695775495,0
An effective way to improve your memorization skills. #shorts #codebasics #learning,6929,496,2,2025-02-03,0.07158320103910995,3464.499999826775,0.00028864193967383046,2,2025,3,6,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.84361509218395,0
Does a Data scientist role really suit you ? #shorts #datascience #data #dataanalyst #datascientist,7198,356,11,2025-01-31,0.049458182828562805,654.3636363576876,0.0015282022784106485,1,2025,31,5,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.881697406469304,0
DeepSeek's impact on the future of AI  #shorts #ai #deepseek,10360,409,2,2025-01-29,0.0394787644787641,5179.999999741,0.00019305019305019118,1,2025,29,5,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.245804036251752,0
A day in the life of a Data Analyst #shorts #data #dataanalyst #datascience,219148,13891,72,2025-01-28,0.06338638728165438,3043.722222217995,0.0003285450928139886,1,2025,28,5,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,12.297507142751899,1
Transformers Explained | Simple Explanation of Transformers,140023,3536,166,2025-01-09,0.025252994150960897,843.512048192263,0.0011855195217928475,1,2025,9,2,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,11.849569115470672,1
Guess what it could be in the comments! #shorts #christmas #codebasics,3576,61,5,2024-12-25,0.017058165548097956,715.199999985696,0.0013982102908277013,12,2024,25,52,4,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.182279739259018,0
Zapier's CEO on AI Automation,2475,81,2,2024-12-18,0.032727272727271405,1237.499999938125,0.0008080808080807754,12,2024,18,51,4,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7.814399633804487,0
Average salary of a Data Analyst #shorts #data #dataanalyst,9593,439,6,2024-12-18,0.04576253518190299,1598.8333333066862,0.0006254560617116583,12,2024,18,51,4,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.168893182062009,0
Human psychology #shorts #codebasics #data #datanalytics,2885,125,2,2024-12-14,0.04332755632582172,1442.499999927875,0.0006932409012131475,12,2024,14,50,4,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7.9676267393338165,0
Importance of Networking! #codebasics #shorts,4765,150,0,2024-12-10,0.03147953830010427,47650000000000.0,0.0,12,2024,10,50,4,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.469262657658687,0
I tried OpenAI Sora | Sora First Look,46476,525,51,2024-12-10,0.01129615285308544,911.294117645272,0.0010973405628711568,12,2024,10,50,4,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,10.746712845552901,0
Hyderabad Learner Meet-up!,1168,38,3,2024-11-27,0.03253424657533968,389.33333332035556,0.0025684931506847115,11,2024,27,48,4,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7.063903961472068,0
How many did you get right? #codebasics #shorts,2584,93,8,2024-11-20,0.03599071207430201,322.9999999959625,0.0030959752321980225,11,2024,20,47,4,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7.85748078694253,0
5 Life Formulas for Achieving Positive Outcomes #codebasics #lifeformulas #shorts,2531,188,1,2024-11-19,0.0742789411299852,2530.9999997469,0.0003951007506914107,11,2024,19,47,4,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7.836764783264067,0
Resume Project Challenge #13 #codebasics #resumeprojectchallenge #dataproject #data  #shorts,3213,108,5,2024-11-14,0.03361344537815021,642.599999987148,0.0015561780267662137,11,2024,14,46,4,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.075271546297458,0
Don't become a Data Scientist if...! #codebasics #datascience #datascientist #shorts,152778,4711,52,2024-11-04,0.030835591511866874,2938.038461532811,0.00034036314128997613,11,2024,4,45,4,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,11.93674771171459,1
Number of Projects on a Data Analyst Resume.#codebasics #shorts #dataanalyst,7568,355,0,2024-11-01,0.04690803382663786,75680000000000.0,0.0,11,2024,1,44,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.931816237309167,0
How good is your memory? #shorts #codebasics,4332,145,2,2024-10-25,0.033471837488457216,2165.9999998917,0.0004616805170821685,10,2024,25,43,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.374015421739909,0
100 Hoodies Giveaway! #shorts #codebasics #data #dataanalyst,4498,145,123,2024-10-24,0.03223654957758932,36.56910569102718,0.027345486883058528,10,2024,24,43,4,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.411610428841172,0
Self-service BI #codebasics #shorts #powerbi #workculture,1858,66,0,2024-10-22,0.035522066738426505,18580000000000.0,0.0,10,2024,22,43,4,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7.527793987721444,0
How to tackle Career Gap? #shorts #codebasics #careergap #careerguidance,2523,124,2,2024-10-07,0.049147839873164914,1261.499999936925,0.0007927070947284664,10,2024,7,41,4,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7.8336002236611035,0
Offline Excel Vs Cloud Excel for Power BI #shorts #codebasics  #powerbi #dataanalysis #data,6219,383,13,2024-10-04,0.06158546390094771,478.3846153809355,0.002090368226402925,10,2024,4,40,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.735525185733225,0
3rd Codebasics Day!,3176,212,5,2024-09-17,0.06675062972291981,635.199999987296,0.0015743073047858446,9,2024,17,38,3,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.063692634269517,0
How much statistics is needed for a data analyst role?,51258,1394,15,2024-09-13,0.02719575480900537,3417.199999977219,0.0002926372468687809,9,2024,13,37,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,10.844646491339164,0
Importance of Unguided Projects,3978,324,4,2024-09-05,0.08144796380090293,994.4999999751375,0.001005530417295098,9,2024,5,36,3,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.288785810426928,0
Codebasics Unfiltered | Roundtable with 11 Industry Experts: Reality of Data Analyst Career in 2024,51075,1646,97,2024-08-31,0.03222711698482617,526.5463917520344,0.001899167890357314,8,2024,31,35,3,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,10.841069998544572,0
This is how they scam you!,5645,239,22,2024-08-28,0.04233835252435709,256.5909090897428,0.0038972542072629956,8,2024,28,35,3,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.638702608813434,0
Secret to Improving Your Memorization,5986,480,7,2024-08-20,0.08018710324089408,855.1428571306408,0.0011693952555963721,8,2024,20,34,3,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.697345730925353,0
Be aware of such scams!,6466,275,18,2024-08-08,0.04253015774822081,359.22222222022657,0.0027837921435199075,8,2024,8,32,3,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.774467601446593,0
Is Data Science a good career?,127496,3107,30,2024-08-05,0.024369391980924873,4249.8666666525005,0.00023530149965489094,8,2024,5,32,3,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,11.755848113892032,1
Is SQL enough to get a Job ?,121437,3175,28,2024-08-01,0.026145244036002185,4337.035714270225,0.0002305722308686807,8,2024,1,31,3,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,11.707159123455632,1
Which industries hire Data Analysts?,27291,1193,18,2024-07-31,0.04371404492323461,1516.1666666582437,0.0006595580960756269,7,2024,31,31,3,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,10.214348897935315,0
AI Product Manager: Core Skill & Took Skill,71008,2416,20,2024-07-29,0.03402433528616489,3550.399999982248,0.0002816584046867955,7,2024,29,31,3,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,11.170561908553392,0
Attention Hiring Managers!,4478,267,5,2024-07-26,0.05962483251451408,895.599999982088,0.0011165698972755444,7,2024,26,30,3,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.4071550862073,0
AI Product Manager,40151,2176,17,2024-07-23,0.05419541231849753,2361.823529397872,0.00042340165873826197,7,2024,23,30,3,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,10.60042753133477,0
Machine Learning for Data Science & AI,8298,287,4,2024-07-17,0.03458664738491161,2074.4999999481374,0.00048204386599179946,7,2024,17,29,3,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.023890304598448,0
Data Science Roadmap 2024,4994,299,5,2024-07-10,0.05987184621545735,998.799999980024,0.0010012014417300561,7,2024,10,28,3,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.516192691082654,0
Order to learn PowerBI basics!,27841,1303,7,2024-06-26,0.04680147983190242,3977.285714228896,0.00025142775043999766,6,2024,26,26,2,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,10.234300950948512,0
Company is COMPANY!,9096,334,5,2024-06-17,0.036719437115215074,1819.199999963616,0.0005496921723834592,6,2024,17,25,2,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.115699967822062,0
The BI Show!,8232,160,8,2024-06-04,0.019436345966957976,1028.9999999871375,0.0009718172983478988,6,2024,4,23,2,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.015905747298426,0
Is Data Science a Good Career?,315898,7283,402,2024-05-30,0.023054910129218918,785.8159203978145,0.0012725626626316085,5,2024,30,22,2,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,12.663177821226444,1
How do businesses use the dashboards?,9052,405,3,2024-05-30,0.04474149359257573,3017.3333332327556,0.0003314184710561165,5,2024,30,22,2,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.11085147347544,0
Data Analyst/Data Science vs Data Engineer!,16094,618,11,2024-05-29,0.038399403504411345,1463.0909090776083,0.0006834845283956711,5,2024,29,22,2,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.686263943732909,0
What is RAG ? #codebasics #data #datascience #ai #dataanalyst,82852,3097,17,2024-05-27,0.0373799063390141,4873.647058794862,0.00020518514942306738,5,2024,27,22,2,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,11.324823232217247,0
Avoid this mistake in your next interview!,8525,343,3,2024-05-22,0.04023460410557138,2841.6666665719445,0.00035190615835776714,5,2024,22,21,2,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.050875597325156,0
Don't learn data tools without knowing this!,4140,245,0,2024-05-16,0.05917874396135123,41400000000000.0,0.0,5,2024,16,20,2,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.328692583545568,0
Struggling to land a job?,9955,644,3,2024-05-02,0.06469110999497675,3318.333333222722,0.0003013561024610718,5,2024,2,18,2,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.205930663487482,0
Is Python easy to learn?,18518,801,5,2024-05-01,0.043255211145911854,3703.599999925928,0.0002700075602116845,5,2024,1,18,2,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.826552511062006,0
"If I Marry ""Data Science & AI"" As A Profession...",11541,464,19,2024-04-30,0.040204488345896884,607.4210526283821,0.0016463044796811226,4,2024,30,18,2,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.353747835270912,0
Is PowerBI easy to learn? #codebasics #data #dataanalyst #powerbi,473824,15890,96,2024-04-29,0.03353565881002228,4935.666666661526,0.00020260687512662923,4,2024,29,18,2,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,13.068593334194501,1
Gen AI Course | Gen AI Tutorial For Beginners,699600,13170,369,2024-04-26,0.01882504288164665,1895.9349593490797,0.0005274442538593481,4,2024,26,17,2,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,13.458265451513784,1
Take this Scam Test #codebasics #data #dataanalyst #datascientist,4968,142,4,2024-04-24,0.028582930756843226,1241.99999996895,0.0008051529790660063,4,2024,24,17,2,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.51097389160232,0
Data Project Challenge | Sales Promotion Insights | RPC#9,3707,61,0,2024-04-20,0.01645535473428604,37070000000000.0,0.0,4,2024,20,16,2,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.218247926685745,0
Something Special Launching Soon... #codebasics #ai #dataanalyst #data #datascientist,8433,196,11,2024-04-10,0.02324202537649682,766.6363636293942,0.0013043993833748214,4,2024,10,15,2,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.040026434306505,0
THIS IS WHY you're not able to FOCUS!,14495,436,6,2024-04-02,0.03007933770265588,2415.8333332930692,0.0004139358399448057,4,2024,2,14,2,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.581628028282761,0
Career in AI | Which Career Option is the Best for Me?,66163,3115,133,2024-03-23,0.047080694648066065,497.46616541315984,0.0020101869625016974,3,2024,23,12,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,11.099891787362111,0
AI Career Opportunities | Career in AI with Salaries,230994,6268,214,2024-03-19,0.027134903936898783,1079.4112149527666,0.0009264309895495118,3,2024,19,12,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,12.35015134424803,1
Non Technical Skills Required for Data Analyst Jobs!,20987,813,7,2024-03-12,0.03873826654595684,2998.1428571000265,0.000333539810358792,3,2024,12,11,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.951706124806602,0
Resume Project Challenge 10!,3004,122,5,2024-03-04,0.040612516644472685,600.799999987984,0.0016644474034619953,3,2024,4,10,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.008032846969307,0
Impact of AI on data analyst jobs?,36088,1252,15,2024-02-29,0.03469297273331846,2405.8666666506274,0.00041565063178895914,2,2024,29,9,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,10.493743388746434,0
The Secret to Success is...,16729,954,4,2024-02-26,0.057026720066949275,4182.249999895444,0.00023910574451551058,2,2024,26,9,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.72495879398087,0
Lawyer to Software Engineer at Google!,7279,308,8,2024-02-21,0.04231350460227995,909.8749999886265,0.0010990520675916871,2,2024,21,8,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.892886141190731,0
9 Unguided data projects for your Resume!,9070,604,5,2024-02-19,0.06659316427783829,1813.99999996372,0.0005512679162072707,2,2024,19,8,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.112837790614945,0
Cracking a job When Market is DRY!,8120,468,18,2024-02-08,0.057635467980294855,451.111111108605,0.0022167487684728792,2,2024,8,6,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.002208578282412,0
Kaun Banega Scam Aware?,2874,69,1,2024-01-30,0.024008350730688098,2873.9999997126,0.00034794711203895795,1,2024,30,5,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7.963807953231451,0
Reality of Job Guarantee Programs,3286,120,1,2024-01-29,0.03651856360316383,3285.9999996714,0.0003043213633596986,1,2024,29,5,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.097730573664219,0
Something that's spreading fast will be EXPOSED this Republic Day.,2568,71,8,2024-01-25,0.027647975077880544,320.9999999959875,0.0031152647975076666,1,2024,25,4,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,7.851271997109883,0
Share your experience in the comments below,6164,168,5,2024-01-24,0.02725502920181656,1232.799999975344,0.0008111615833873977,1,2024,24,4,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.726643415598444,0
Guess SQL full forms!,7356,220,7,2024-01-23,0.02990755845568203,1050.8571428421305,0.0009516041326807918,1,2024,23,4,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.903407519932264,0
Excel Job Ready Checklist 2024,44371,2836,15,2024-01-22,0.06391562056298018,2958.066666646946,0.00033805864190574847,1,2024,22,4,1,0,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,10.70036391885855,0
Importance of LinkedIn and Online Credibility!,5319,359,3,2024-01-17,0.06749388982891394,1772.9999999409,0.0005640157924421778,1,2024,17,3,1,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.57922858233569,0
STAY AWAY from such FALSE PROMISES!,5760,173,9,2024-01-11,0.0300347222222217,639.9999999928889,0.0015624999999999728,1,2024,11,2,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.658866349732383,0
Data Analyst Roadmap 2024,9951,604,5,2024-01-06,0.060697417344989846,1990.199999960196,0.0005024620641141544,1,2024,6,1,1,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.20552881497896,0
Importance of Portfolio Website!,7492,436,1,2024-01-05,0.05819540843566393,7491.9999992508,0.00013347570742124756,1,2024,5,1,1,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.92172453036431,0
How Data Analysts Build Dashboard in Real Time?,5350,354,3,2024-01-04,0.06616822429906419,1783.333333273889,0.0005607476635513914,1,2024,4,1,1,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.585038738311304,0
Is coding required for the Data Analyst role ?,16640,704,10,2024-01-02,0.04230769230769206,1663.99999998336,0.0006009615384615349,1,2024,2,1,1,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.719624808723344,0
Found it relatable? Then share it with your friends.,14282,256,3,2023-12-30,0.017924660411706917,4760.666666507977,0.00021005461419969045,12,2023,30,52,4,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.566825297862628,0
Share it with your friends if you found it relatable,22334,534,12,2023-12-29,0.02390973403778981,1861.166666651157,0.0005372973941076362,12,2023,29,52,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,10.01391023378622,0
New Resume Project Challenge is LIVE NOW!,4071,205,6,2023-12-20,0.05035617784328051,678.4999999886917,0.0014738393515106492,12,2023,20,51,4,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.311889558230359,0
BEWARE of such Ed-Tech Ads!,13287,292,16,2023-12-19,0.021976367878377197,830.4374999948099,0.0012041845412809422,12,2023,19,51,4,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.49461665129313,0
👆 Is Data Analyst a Good Career ?,24772,889,15,2023-12-17,0.03588729210398823,1651.4666666556568,0.0006055223639593065,12,2023,17,50,4,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,10.117509629400777,0
Hack Struggle in learning,4753,412,4,2023-12-16,0.086682095518618,1188.2499999702939,0.0008415737428992038,12,2023,16,50,4,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.46674164792014,0
👆 Is Data analyst a right career choice for me?,12427,340,5,2023-12-15,0.027359781121750807,2485.399999950292,0.0004023497223786883,12,2023,15,50,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.427707270512938,0
Tech Stack for Data Analyst Role,3058,241,5,2023-12-13,0.07880967952910141,611.599999987768,0.0016350555918900709,12,2023,13,50,4,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.025843344150903,0
Why People Give Up?,9874,467,6,2023-12-12,0.04729592870164019,1645.6666666392389,0.0006076564715414158,12,2023,12,50,4,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.197761589769323,0
New Resume Project Challenge is LIVE NOW!,4696,131,5,2023-12-06,0.027896081771720017,939.199999981216,0.001064735945485497,12,2023,6,49,4,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.454679286026995,0
Hack for fast learning!,4621,253,5,2023-11-30,0.054750054100842785,924.199999981516,0.0010820168794632961,11,2023,30,48,4,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.438582790834326,0
Do you still need Excel?,5953,342,1,2023-11-23,0.057450025197378504,5952.9999994047,0.00016798252981689623,11,2023,23,47,4,0,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.691818541575723,0
Your salary increment depends on THIS!,4832,231,0,2023-11-19,0.047806291390727486,48320000000000.0,0.0,11,2023,19,46,4,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.483222671845084,0
Surprise Announcement 📢,5788,281,24,2023-11-17,0.048548721492742766,241.16666666566184,0.004146510020732478,11,2023,17,46,4,0,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.663714844079005,0
Confused Between Data Analyt or Data Scientist?,8390,460,7,2023-11-15,0.05482717520858099,1198.571428554306,0.0008343265792610151,11,2023,15,46,4,0,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,9.03491498187007,0
Drop your guesses in the comments!,3819,91,8,2023-11-12,0.02382822728462886,477.3749999940328,0.002094789211835504,11,2023,12,45,4,1,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.24800570160062,0
Live Winners & Top 20 Submissions Announcement | Telangana Government Insights | RPC#7 | Q & A,3491,104,6,2023-11-11,0.029790890862216274,581.8333333236361,0.001718705242050939,11,2023,11,45,4,1,False,False,True,False,False,False,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.158229916959494,0
Evolution 🐒of Business Intelligencework👨‍💻! 📈#codebasics #shorts #dataanalysis #data #datascience,3927,205,5,2023-11-07,0.05220269926152146,785.399999984292,0.001273236567354182,11,2023,7,45,4,0,False,False,False,False,False,True,False,False,False,False,False,False,False,False,False,False,False,True,False,False,False,False,False,False,False,False,8.275885669474356,0
